カメラ名,メーカー名,発売年,Wikipedia_URL,統合処理日,年度タグ,重複チェックメモ,センサー種別,解像度,重量,発売年月,ISO感度,連写性能,価格
Fujifilm X-Pro1,Fujifilm,2012,https://en.wikipedia.org/wiki/Fujifilm_X-Pro1,2025-08-27T22:49:34.745123,2012,,"""X-Trans"" CMOS",16.3 megapixels,{{convert|450|g|lb|abbr=on}} (including battery and memory card),,,,
Fujifilm XF1,Fujifilm,2012,https://en.wikipedia.org/wiki/Fujifilm_XF1,2025-08-27T22:49:34.745125,2012,,[[EXR_color_filter_array|EXRCMOS]],4000 x 3000 (12 megapixels),255g including battery,<!-- Release date -->,100-12800,,
HADECS,HADECS,2012,https://en.wikipedia.org/wiki/HADECS,2025-08-27T22:49:34.745128,2012,,,,,,,,
Leica M (Camera),Leica,2012,https://en.wikipedia.org/wiki/Leica_M_(Camera),2025-08-27T22:49:34.745130,2012,,,,,,,,
Leica M (Typ 240),Leica,2012,https://en.wikipedia.org/wiki/Leica_M_(Typ_240),2025-08-27T22:49:34.745132,2012,,,,,,,,
Leica M Monochrom,Leica,2012,https://en.wikipedia.org/wiki/Leica_M_Monochrom,2025-08-27T22:49:34.745135,2012,,Monochrome {{Convert|35.8|×|23.9|mm|abbr=on}} [[Image sensor format|image sensor]],18 [[Megapixels]],{{Convert|600|g|abbr=on}},,320 to 10000,,
Leica M-E,Leica,2012,https://en.wikipedia.org/wiki/Leica_M-E,2025-08-27T22:49:34.745137,2012,,CCD,5212 x 3472 (18 megapixels),"585 g including battery<ref name=""dpreview-spec"">{{Cite web |url=https://www.dpreview.com/products/leica/slrs/leica_me220 |title=Leica M-E Typ 220: Digital Photography Review |website=www.dpreview.com |access-date=2019-11-27}}</ref>",<!-- Release date -->,80-2500,,
Leica X2,Leica,2012,https://en.wikipedia.org/wiki/Leica_X2,2025-08-27T22:49:34.745139,2012,,[[Active pixel sensor|CMOS]],4928 x 3264 (16 [[Pixel|megapixels]]),345g including battery,<!-- Release date -->,100-12500,,
Nikon 1 V2,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_1_V2,2025-08-27T22:49:34.745141,2012,,CMOS,"4,608 x 3,072 <br> (14 effective [[megapixel]]s)",,,,,
Nikon Coolpix P510,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_Coolpix_P510,2025-08-27T22:49:34.745144,2012,,BSI-CMOS,4608 x 3456 (16.1 megapixels),555g including battery,<!-- Release date -->,100-3200,,
Nikon Coolpix S800c,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_Coolpix_S800c,2025-08-27T22:49:34.745146,2012,,CMOS,4608 × 3456,{{convert|184|g|abbr=on}} with battery and SD memory card,<!-- Release date -->,ISO 125–1600 (3200 available as boost),,
Nikon D4,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_D4,2025-08-27T22:49:34.745148,2012,,"36.0&nbsp;mm&nbsp;×&nbsp;23.9&nbsp;mm [[CMOS]], Nikon FX format, 7.3µm pixel size",16.4 effective megapixels (4928 × 3280 pixels),{{convert|1180|g|lb|abbr=on}},5 January 2012,"ISO equivalency 100 to 12,800 in 1/3, 1/2 or 1.0 EV steps, Boost: 50–204,800 in 1/3, 1/2 or 1.0 EV steps",,$5999.95
Nikon D600,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_D600,2025-08-27T22:49:34.745151,2012,,[[CMOS]],6016 × 4016<br/> (24.3 megapixels),"{{convert|760|g|oz|abbr=on}}, body only",13 September 2012,"100–6400, extended mode to 50–12800, HI2 mode 25600",,US$ 2099 (body only); US$ 2699 (with 24–85 mm kit lens)
Nikon D800,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_D800,2025-08-27T22:49:34.745153,2012,,"35.9 × 24&nbsp;mm Full Frame FX format CMOS, 4.88&nbsp;μm pixel size","7,360 × 4,912 (36.3 effective megapixels)","{{convert|900|g|oz|abbr=on}}, body only",6 February 2012,"100–6400, extended mode to 50–12800, HI2 mode 25600",,
Nikon D800E,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_D800E,2025-08-27T22:49:34.745155,2012,,,,,,,,
Nikon D3200,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_D3200,2025-08-27T22:49:34.745157,2012,,"23.2&nbsp;mm × 15.4&nbsp;mm [[Nikon DX format]] RGB [[CMOS sensor]], 1.5 × [[Image sensor format|FOV crop]], 3.85&nbsp;µm pixel size","6,016 × 4,000 (24.2 effective megapixels)","Approx. {{convert|455|g|lb|abbr=on}} without battery, memory card or body cap",,"100–6400 in 1 EV steps, up to 12800 as boost",,
Nikon D5200,Nikon,2012,https://en.wikipedia.org/wiki/Nikon_D5200,2025-08-27T22:49:34.745160,2012,,"23.5&nbsp;mm × 15.6&nbsp;mm [[Nikon DX format]] RGB [[CMOS sensor]], 1.5× [[Image sensor format|FOV crop]]","6,010×4,000 (24.1 effective megapixels)",Approx. 505&nbsp;g (1&nbsp;b. 1.8&nbsp;oz.) body only,,"100–6400 in 1/3 EV steps, up to 25,600 as high-boost.",,
Olympus OM-D E-M5,Olympus,2012,https://en.wikipedia.org/wiki/Olympus_OM-D_E-M5,2025-08-27T22:49:34.745162,2012,,[[Four Thirds System]] 16MP [[Live MOS]],,{{convert|14.99|oz|g|abbr=on}} with battery,,"ISO 200–12800, extendable to 125-25600",,
Olympus PEN E-PL5,Olympus,2012,https://en.wikipedia.org/wiki/Olympus_PEN_E-PL5,2025-08-27T22:49:34.745164,2012,,[[Four Thirds System]] 18.00 × 13.50&nbsp;mm [[Live MOS]],4608 x 3456 (16.1 [[megapixels]]),"{{convert|279|g|oz|abbr=on}} (body only) {{convert|325|g|oz|abbr=on}} (body, battery and SD memory card)",,ISO 200–25600,,
Olympus PEN E-PM2,Olympus,2012,https://en.wikipedia.org/wiki/Olympus_PEN_E-PM2,2025-08-27T22:49:34.745166,2012,,CMOS,4608 x 3456 (16 megapixels),269g including battery,<!-- Release date -->,100-25600,,
Pentax K-01,Pentax,2012,https://en.wikipedia.org/wiki/Pentax_K-01,2025-08-27T22:49:34.745195,2012,,[[APS-C]] CMOS sensor,16.28 megapixel,Without battery or removable memory: 480g (16.9 oz); 560g (19.8 oz) with dedicated battery & SD memory card,,,,
Pentax K-5 II,Pentax,2012,https://en.wikipedia.org/wiki/Pentax_K-5_II,2025-08-27T22:49:34.745198,2012,,[[APS-C]] 23.7×15.7&nbsp;mm CMOS sensor,16.3 megapixels (4928×3264),With battery: {{convert|760|g|lb|abbr=on}},,"ISO 100–12,800 in 1, 1/2, or 1/3&nbsp;EV steps; expandable to ISO 80–51,200",,
Pentax K-30,Pentax,2012,https://en.wikipedia.org/wiki/Pentax_K-30,2025-08-27T22:49:34.745201,2012,,APS-C 23.7×15.7&nbsp;mm CMOS sensor,16.3 million effective pixels,With battery and SD card: {{convert|650|g|lb}}<br />Without battery: {{convert|590|g|lb}},,"ISO 100–12,800 in 1, 0.5 or 0.3&nbsp;EV steps. Extendable from ISO 100–25,600",,
Pentax X-5,Pentax,2012,https://en.wikipedia.org/wiki/Pentax_X-5,2025-08-27T22:49:34.745203,2012,,"[[Image sensor format|1/2.33""]] (6.08 x 4.56 mm) BSI-CMOS",4608x3456 (15.9 [[megapixels]]),595g,,ISO 100-6400,,
Samsung Galaxy Camera,Samsung,2012,https://en.wikipedia.org/wiki/Samsung_Galaxy_Camera,2025-08-27T22:49:34.745206,2012,,,,,,,,
Sony Alpha 37,Sony,2012,https://en.wikipedia.org/wiki/Sony_Alpha_37,2025-08-27T22:49:34.745208,2012,,"23,4&nbsp;mm × 15,66&nbsp;mm, 16.1 effective megapixels [[CMOS]]",,"Approx. 506&nbsp;g (with battery & media); Approx. 448&nbsp;g (excl battery, lens & media)",,Auto: 100-3200; Selectable: 100-16000; Multi Frame NR (up to ISO 25600),,
Sony Alpha 57,Sony,2012,https://en.wikipedia.org/wiki/Sony_Alpha_57,2025-08-27T22:49:34.745211,2012,,"23.5 mm × 15.6 mm, 16.1 effective megapixels [[Charge-coupled device|CMOS]]",,Approx. 618 g (with battery & media);,,Auto: 100-3200; Selectable: 100-16000; Multi Frame NR (up to ISO 25600),,
Sony Alpha 99,Sony,2012,https://en.wikipedia.org/wiki/Sony_Alpha_99,2025-08-27T22:49:34.745213,2012,,35.6&nbsp;mm × 23.8&nbsp;mm Exmor [[CMOS]] sensor,6000 x 4000 pixel (24.3 [[megapixels]]),"{{convert|733|g|abbr=on}}, body only",,,,
Sony Cyber-shot DSC-RX1,Sony,2012,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-RX1,2025-08-27T22:49:34.745215,2012,,CMOS,6000 x 4000 (24 megapixels),482g including battery,Sept 12 2012,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800, 25600",,
Sony Cyber-shot DSC-RX100 series,Sony,2012,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-RX100_series,2025-08-27T22:49:34.745218,2012,,[[Exmor]] CMOS sensor,{{val|20.2|u=MP}},8.5&nbsp;oz (240&nbsp;g) with battery,,,,
Sony NEX-5R,Sony,2012,https://en.wikipedia.org/wiki/Sony_NEX-5R,2025-08-27T22:49:34.745220,2012,,CMOS,4912&nbsp;× 3264 (16 megapixels),276&nbsp;g including battery,<!-- Release date -->,100-25600,,
Sony NEX-F3,Sony,2012,https://en.wikipedia.org/wiki/Sony_NEX-F3,2025-08-27T22:49:34.745222,2012,,CMOS,4912&nbsp;× 3264 (16 megapixels),314&nbsp;g including battery,<!-- Release date -->,200-16000,,
Canon EOS 70D,Canon,2013,https://en.wikipedia.org/wiki/Canon_EOS_70D,2025-08-27T22:49:35.272295,2013,,,,,,,,
Canon EOS 100D,Canon,2013,https://en.wikipedia.org/wiki/Canon_EOS_100D,2025-08-27T22:49:35.272308,2013,,,,,,,,
Canon EOS 700D,Canon,2013,https://en.wikipedia.org/wiki/Canon_EOS_700D,2025-08-27T22:49:35.272311,2013,,[[CMOS]],5184 × 3456 (18.0 effective megapixels),{{cvt|525|g|oz}} (body only),,100&nbsp;– 12800 (expandable to H: 25600),,
Canon EOS-1D C,Canon,2013,https://en.wikipedia.org/wiki/Canon_EOS-1D_C,2025-08-27T22:49:35.272314,2013,,36&nbsp;mm × 24&nbsp;mm [[CMOS]] (5184 x 3456 pixels),18.1 Megapixels,,December 2012<ref>{{cite web|url=http://global.canon/en/c-museum/product/cesc824.html |title=EOS-1D C |website=Canon Camera Museum}}</ref>,"100–51,200 in 1/3 stops. Expandable to ISO 50, 102,400 and 204,800.",,"$15,000.00"
Canon PowerShot G16,Canon,2013,https://en.wikipedia.org/wiki/Canon_PowerShot_G16,2025-08-27T22:49:35.272316,2013,,BSI-CMOS,4000 x 3000 (12&nbsp;megapixels),356g including battery,<!-- Release date -->,80-12800,,
Canon PowerShot S120,Canon,2013,https://en.wikipedia.org/wiki/Canon_PowerShot_S120,2025-08-27T22:49:35.272319,2013,,"[[Image sensor format|1/1.7""]] [[BSI-CMOS]]",4000 × 3000 (12.1 megapixels),{{convert|217|g|abbr=on}} including battery,,"Auto, ISO 80–12800 (in 1/3-step increments)",,US$449.99
Fujifilm FinePix HS50EXR,Fujifilm,2013,https://en.wikipedia.org/wiki/Fujifilm_FinePix_HS50EXR,2025-08-27T22:49:35.272321,2013,,,,,,,,
Fujifilm X-A1,Fujifilm,2013,https://en.wikipedia.org/wiki/Fujifilm_X-A1,2025-08-27T22:49:35.272324,2013,,CMOS,4896 × 3264 (16 megapixels),330g including battery,<!-- Release date -->,200-6400,,
Fujifilm X-E2,Fujifilm,2013,https://en.wikipedia.org/wiki/Fujifilm_X-E2,2025-08-27T22:49:35.272326,2013,,[[Fujifilm X-Trans sensor|X-Trans CMOS II]],16.3 megapixels <br>4896 x 3264,'''X-E2''': {{convert|350|g|lb|abbr=on}} <br>'''X-E2s''': {{convert|350|g|lb|abbr=on}} <br><small>including battery and memory card</small>,'''X-E2''': {{Start date and age|2013|10|18|df=yes|br=yes}} <br>'''X-E2s''':  {{Start date and age|2016|02|15|df=yes|br=yes}},"160–6400 <small>(standard)</small><br>80–25600 <small>(X-E2, extend)</small> <br>80–51200 <small>(X-E2S, extend)</small>",,"'''X-E2''': USD 999 <small>(body)</small>, USD 1,399 <small>(kit)</small> <br> '''X-E2s''': USD 699 <small>(body)</small>, USD 999 <small>(kit)</small>"
Fujifilm X-M1,Fujifilm,2013,https://en.wikipedia.org/wiki/Fujifilm_X-M1,2025-08-27T22:49:35.272328,2013,,"CMOS, X-Trans, no Anti-Aliasing filter",4896 × 3264 (16 megapixels),{{Convert|330|g|abbr=on}} including battery,<!-- Release date -->,200–6400,,
Fujifilm X20,Fujifilm,2013,https://en.wikipedia.org/wiki/Fujifilm_X20,2025-08-27T22:49:35.272330,2013,,CMOS,4000 x 3000 (12&nbsp;megapixels),353&nbsp;g including battery,<!-- Release date -->,100-12800,,
Fujifilm XQ1,Fujifilm,2013,https://en.wikipedia.org/wiki/Fujifilm_XQ1,2025-08-27T22:49:35.272332,2013,,[[Fujifilm_X-Trans_sensor|X-Trans CMOS II]],4000 x 3000 (12 megapixels),206g including battery,<!-- Release date -->,100-12800,,
Kodak PixPro AZ521,Kodak,2013,https://en.wikipedia.org/wiki/Kodak_PixPro_AZ521,2025-08-27T22:49:35.272334,2013,,CMOS,4608 x 3456 (16 megapixels),551g,<!-- Release date -->,,,
Leica X Vario,Leica,2013,https://en.wikipedia.org/wiki/Leica_X_Vario,2025-08-27T22:49:35.272337,2013,,CMOS,4928 x 3272 (16 megapixels),680g including battery,<!-- Release date -->,100-12500,,
Nikon 1 AW1,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_1_AW1,2025-08-27T22:49:35.272339,2013,,CMOS,4616 x 3077 <br> (14.2 effective [[megapixel]]s),{{convert|313|g|lb|abbr=on}},,,,
Nikon 1 J2,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_1_J2,2025-08-27T22:49:35.272341,2013,,CMOS,3893 x 2595 <br> (10.1 effective [[megapixel]]s),{{convert|237|g|lb|abbr=on}},,,,
Nikon 1 J3,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_1_J3,2025-08-27T22:49:35.272343,2013,,CMOS,4616 x 3077 <br> (14.2 effective [[megapixel]]s),{{convert|201|g|lb|abbr=on}},,,,
Nikon 1 S1,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_1_S1,2025-08-27T22:49:35.272346,2013,,CMOS,3893 x 2595 <br> (10.1 effective [[megapixel]]s),{{convert|197|g|lb|abbr=on}},,,,
Nikon Coolpix A,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_Coolpix_A,2025-08-27T22:49:35.272348,2013,,[[Active-pixel sensor|CMOS]],"4,928 × 3,264 (16.2 effective megapixels)",299g including battery,"March 5, 2013","[[Film speed|ISO]] Auto, 100, 200, 400, 800, 1600, 2000, 3200 6400, (12800, 25600 with boost)",,1100 USD
Nikon Coolpix P520,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_Coolpix_P520,2025-08-27T22:49:35.272350,2013,,BSI-CMOS,4896 x 3672<br>(18.1 megapixels),550g including battery,<!-- Release date -->,80 - 3200,,
Nikon Coolpix P7800,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_Coolpix_P7800,2025-08-27T22:49:35.272353,2013,,BSI-CMOS,4000 x 3000 (12 megapixels),399g including battery,<!-- Release date -->,,,
Nikon D610,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_D610,2025-08-27T22:49:35.272355,2013,,CMOS,6016 × 4016 [[pixel]]s<br/> (24 [[megapixel]]s),850 g including battery,8 October 2013,50–25600,,
Nikon D5300,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_D5300,2025-08-27T22:49:35.272357,2013,,"23.5&nbsp;mm × 15.6&nbsp;mm [[Nikon DX format]] RGB [[CMOS sensor]], 1.5 × [[Image sensor format|FOV crop]]",6000 × 4000 [[pixel]]s<br /> (24.2 [[megapixel]]s),{{convert|480|g|oz|1}} body only,,,,
Nikon D7100,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_D7100,2025-08-27T22:49:35.272359,2013,,"23.5&nbsp;mm × 15.6&nbsp;mm [[Nikon DX format]] RGB [[CMOS sensor]], 1.5 × [[Image sensor format|FOV crop]]",6000 × 4000 [[pixel]]s<br/> (24.1 [[megapixel]]s),Approx. {{convert|675|g|lb|abbr=on}},21 February 2013,"ISO 100–6400 in 1/3 EV steps, up to 25600 with Hi (boost) menu item",,$949.95 (body only)
Nikon Df,Nikon,2013,https://en.wikipedia.org/wiki/Nikon_Df,2025-08-27T22:49:35.272361,2013,,"36.0&nbsp;mm&nbsp;×&nbsp;23.9&nbsp;mm [[CMOS]], Nikon FX format, 7.3&nbsp;µm pixel size",4928 × 3280 [[pixel]]s<br/> (16.2 [[megapixel]]s),{{convert|710|g|lb|abbr=on}},2013,"ISO equivalency 100 to 12,800 , Boost: 50–204,800",,
Olympus OM-D E-M1,Olympus,2013,https://en.wikipedia.org/wiki/Olympus_OM-D_E-M1,2025-08-27T22:49:35.272363,2013,,,,,,,,
Olympus PEN E-P5,Olympus,2013,https://en.wikipedia.org/wiki/Olympus_PEN_E-P5,2025-08-27T22:49:35.272366,2013,,,,,,,,
Olympus PEN E-PL6,Olympus,2013,https://en.wikipedia.org/wiki/Olympus_PEN_E-PL6,2025-08-27T22:49:35.272368,2013,,CMOS,4608 x 3456 (16 megapixels),325g including battery,<!-- Release date -->,100-25600,,
Olympus Stylus 1,Olympus,2013,https://en.wikipedia.org/wiki/Olympus_Stylus_1,2025-08-27T22:49:35.272370,2013,,BSI-CMOS,12 Megapixel,402 g including batteries,2013-11-25,ISO Auto and 100-12800,,
Pentax K-3,Pentax,2013,https://en.wikipedia.org/wiki/Pentax_K-3,2025-08-27T22:49:35.272372,2013,,[[APS-C]] 23.7 × 15.7&nbsp;mm CMOS sensor,24.71 megapixels (6016×4000),With battery: {{convert|800|g|oz|abbr=on}}<br />Without battery: {{convert|715|g|oz|abbr=on}},,"ISO 100–51,200 in 1, {{frac|1|2}}, or {{frac|1|3}}&nbsp;EV steps",,
Pentax K-50,Pentax,2013,https://en.wikipedia.org/wiki/Pentax_K-50,2025-08-27T22:49:35.272374,2013,,APS-C 23.7×15.7&nbsp;mm CMOS sensor,4928 × 3264 [[pixel]]s<br/>16.3 [[megapixel|million effective pixels]],With battery and SD card: {{convert|650|g|lb}}<br />Without battery: {{convert|590|g|lb}},,"ISO 100–51&nbsp;200 in 1, 0.5 or 0.3&nbsp;EV steps",,
Pentax MX-1,Pentax,2013,https://en.wikipedia.org/wiki/Pentax_MX-1,2025-08-27T22:49:35.272376,2013,,[[Back-illuminated sensor|BSI]] [[CMOS]],4000 x 3000 (4:3)(12 megapixels),391g including battery,<!-- Release date -->,100-12800 [[Film speed|ISO]],,
Pentax Q7,Pentax,2013,https://en.wikipedia.org/wiki/Pentax_Q7,2025-08-27T22:49:35.272378,2013,,"BSI-CMOS, stabilized",4000 x 3000 (12 megapixels),200g including battery,<!-- Release date -->,,,
Pentax Q10,Pentax,2013,https://en.wikipedia.org/wiki/Pentax_Q10,2025-08-27T22:49:35.272381,2013,,CMOS,4000 x 3000 (12 megapixels),200g including battery,<!-- Release date -->,100-6400,,
Samsung Galaxy NX,Samsung,2013,https://en.wikipedia.org/wiki/Samsung_Galaxy_NX,2025-08-27T22:49:35.272383,2013,,20.3 megapixel [[APS-C]] [[CMOS image sensor]],20.3 [[Pixel#Megapixel|megapixels]],495 g,{{start date|2013|06}},ISO 100 to 3200,,
Samsung Galaxy S4 Zoom,Samsung,2013,https://en.wikipedia.org/wiki/Samsung_Galaxy_S4_Zoom,2025-08-27T22:49:35.272385,2013,,,,,,,,
Samsung NX300,Samsung,2013,https://en.wikipedia.org/wiki/Samsung_NX300,2025-08-27T22:49:35.272387,2013,,[[Active-pixel sensor|CMOS]],5472 x 3648 (20 megapixels),331g including battery,,,,
Samsung NX300M,Samsung,2013,https://en.wikipedia.org/wiki/Samsung_NX300M,2025-08-27T22:49:35.272389,2013,,CMOS,5472 x 3648 (20 megapixels),331g including battery,<!-- Release date -->,,,
Samsung NX2000,Samsung,2013,https://en.wikipedia.org/wiki/Samsung_NX2000,2025-08-27T22:49:35.272407,2013,,CMOS,5472 x 3648 (20&nbsp;megapixels),228g including battery,<!-- Release date -->,100-25600,,
Sony Alpha 58,Sony,2013,https://en.wikipedia.org/wiki/Sony_Alpha_58,2025-08-27T22:49:35.272410,2013,,,,,,,,
Sony Cyber-shot DSC-HX50,Sony,2013,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-HX50,2025-08-27T22:49:35.272412,2013,,[[Exmor]] R™ [[CMOS Sensor]],"5,184 X 3,888 (20,4 [[megapixels]])",272g (108.1mm x 63.6mm x 38.3mm),,ISO  80 - 12800,,
Sony Cyber-shot DSC-RX1,Sony,2013,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-RX1,2025-08-27T22:49:35.272415,2013,,CMOS,6000 x 4000 (24 megapixels),482g including battery,Sept 12 2012,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800, 25600",,
Sony Cyber-shot DSC-RX10,Sony,2013,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-RX10,2025-08-27T22:49:35.272417,2013,,BSI-CMOS,5472 x 3648 (20 megapixels),813g with battery,<!-- Release date -->,<!-- Film speed -->,,
Sony NEX-3N,Sony,2013,https://en.wikipedia.org/wiki/Sony_NEX-3N,2025-08-27T22:49:35.272419,2013,,CMOS,4912&nbsp;× 3264 (16 megapixels),269&nbsp;g including battery,<!-- Release date -->,200-16000,,
Sony NEX-5T,Sony,2013,https://en.wikipedia.org/wiki/Sony_NEX-5T,2025-08-27T22:49:35.272421,2013,,CMOS,4912&nbsp;× 3264 (16 megapixels),276&nbsp;g including battery,<!-- Release date -->,100-25600,,
Sony α7,Sony,2013,https://en.wikipedia.org/wiki/Sony_α7,2025-08-27T22:49:35.272425,2013,,35.8×23.9&nbsp;mm [[Exmor]] [[Full-frame digital SLR|full-frame]] HD CMOS Sensor,6000×4000 (3:2) (24 [[megapixel]]s)<ref>{{cite web|url=<!-- http://www.dpreview.com/previews/sony-alpha-7-7r/2 -->http://www.dpreview.com/reviews/sony-alpha-a7r |title=<!-- Sony α7 / α7R First Impressions Review: Digital Photography Review --> Sony α7R Review: Digital Photography Review|publisher=Dpreview.com | author = Jeff Keller | date= February 2014 | access-date=2013-10-31}}</ref>,"Approx. {{convert|474|g|abbr=on}} (camera body, card and battery)",October 2013,"Auto, 100–25600",,
Sony α7R,Sony,2013,https://en.wikipedia.org/wiki/Sony_α7R,2025-08-27T22:49:35.272428,2013,,,,,,,,
Sony α3000,Sony,2013,https://en.wikipedia.org/wiki/Sony_α3000,2025-08-27T22:49:35.272431,2013,,CMOS,5456&nbsp;× 3632 (20 megapixels),{{convert|411|g|abbr=on}} including battery,<!-- Release date -->,100-16000,,
Canon EOS 7D Mark II,Canon,2014,https://en.wikipedia.org/wiki/Canon_EOS_7D_Mark_II,2025-08-27T22:49:35.800807,2014,,,,,,,,
Canon EOS 1200D,Canon,2014,https://en.wikipedia.org/wiki/Canon_EOS_1200D,2025-08-27T22:49:35.800820,2014,,,,,,,,
Canon PowerShot G1 X Mark II,Canon,2014,https://en.wikipedia.org/wiki/Canon_PowerShot_G1_X_Mark_II,2025-08-27T22:49:35.800823,2014,,CMOS,4160 x 3120 (13 megapixels),553g including battery,<!-- Release date -->,100-12800,,
Canon PowerShot G7 X,Canon,2014,https://en.wikipedia.org/wiki/Canon_PowerShot_G7_X,2025-08-27T22:49:35.800826,2014,,BSI-CMOS,5472 × 3648 (20 megapixels),304&nbsp;g including battery (0.67 lb / 10.72 oz),<!-- Release date -->,125-12800,,
Canon PowerShot S200,Canon,2014,https://en.wikipedia.org/wiki/Canon_PowerShot_S200,2025-08-27T22:49:35.800829,2014,,CCD,3648 x 2736 (10.1 megapixels),181 g (including battery),<!-- Release date -->,"Auto, ISO 80–6400 (in 1/3-step increments)",,
Canon PowerShot SX60 HS,Canon,2014,https://en.wikipedia.org/wiki/Canon_PowerShot_SX60_HS,2025-08-27T22:49:35.800831,2014,,CMOS,16.1 megapixels,,<!-- Release date -->,"125 – 12,800",,
Canon PowerShot SX520 HS,Canon,2014,https://en.wikipedia.org/wiki/Canon_PowerShot_SX520_HS,2025-08-27T22:49:35.800834,2014,,BSI-CMOS,4608 x 3456 (16 megapixels),441g including battery,<!-- Release date -->,100 to 3200,,"$330, usually $200"
DSC-QX100,DSC-QX100,2014,https://en.wikipedia.org/wiki/DSC-QX100,2025-08-27T22:49:35.800836,2014,,Backside-Illuminated (BSI) CMOS,5184 x 3888 (20.2 megapixels),179 g including battery,<!-- Release date -->,ISO 160–6400,,
Fujifilm FinePix S9200,Fujifilm,2014,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S9200,2025-08-27T22:49:35.800838,2014,,CMOS,4608 x 3456 (16 megapixels),,"January 6, 2014",,,
Fujifilm X-T1,Fujifilm,2014,https://en.wikipedia.org/wiki/Fujifilm_X-T1,2025-08-27T22:49:35.800841,2014,,[[Fujifilm X-Trans sensor|X-Trans CMOS II]],4896*3264<br>(16 megapixels),{{convert|440|g|lb|abbr=on}} <br><small>including battery and memory card</small>,27 January 2014<ref name=FujiXT1/>,200–6400 <small>(standard)</small> <br>100–51200 <small>(extend)</small>,,"USD 1,299 <small>(body)</small>,<br> USD 1,899 <small>(kit)</small>"
Fujifilm X30,Fujifilm,2014,https://en.wikipedia.org/wiki/Fujifilm_X30,2025-08-27T22:49:35.800843,2014,,[[Fujifilm_X-Trans_sensor|X-Trans CMOS II]],4000 x 3000 (12 megapixels),423g including battery,<!-- Release date -->,100 to 12800,,
HTC RE Camera,HTC,2014,https://en.wikipedia.org/wiki/HTC_RE_Camera,2025-08-27T22:49:35.800845,2014,,,,,,,,
Kodak Pixpro S-1,Kodak,2014,https://en.wikipedia.org/wiki/Kodak_Pixpro_S-1,2025-08-27T22:49:35.800848,2014,,CMOS,4640 x 3480 (16 megapixels),290g including battery,<!-- Release date -->,200-12800,,
Leica M-A,Leica,2014,https://en.wikipedia.org/wiki/Leica_M-A,2025-08-27T22:49:35.800865,2014,,,,{{Convert|578|g|abbr=on}},2014,ISO 6-6400,,
Leica S-E,Leica,2014,https://en.wikipedia.org/wiki/Leica_S-E,2025-08-27T22:49:35.800868,2014,,,,,,,,
Leica T (Typ 701),Leica,2014,https://en.wikipedia.org/wiki/Leica_T_(Typ_701),2025-08-27T22:49:35.800870,2014,,CMOS,4944&nbsp;× 3278 (16 megapixels),384&nbsp;g including battery,<!-- Release date -->,125–12500,,
Leica X,Leica,2014,https://en.wikipedia.org/wiki/Leica_X,2025-08-27T22:49:35.800872,2014,,CMOS,4928 x 3264 (16 megapixels),486g including battery,<!-- Release date -->,"100-12,500",,
Nikon 1 J4,Nikon,2014,https://en.wikipedia.org/wiki/Nikon_1_J4,2025-08-27T22:49:35.800875,2014,,CMOS,5232 x 3488 <br> (18 effective [[megapixel]]s),232g including battery,<!-- Release date -->,160-12800,,
Nikon 1 S2,Nikon,2014,https://en.wikipedia.org/wiki/Nikon_1_S2,2025-08-27T22:49:35.800877,2014,,CMOS,14.2 megapixels,including battery,"May 14, 2014",,,
Nikon 1 V3,Nikon,2014,https://en.wikipedia.org/wiki/Nikon_1_V3,2025-08-27T22:49:35.800879,2014,,CMOS,5232 x 3488 <br> (18 effective [[megapixel]]s),381g including battery,<!-- Release date -->,160-12800,,
Nikon Coolpix P600,Nikon,2014,https://en.wikipedia.org/wiki/Nikon_Coolpix_P600,2025-08-27T22:49:35.800881,2014,,BSI-CMOS,4608 x 3456<br>(16.1 megapixels),565g including battery,<!-- Release date -->,,,
